onset,offset,code01,code02,comment
358430,358900,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.47s).
361700,363110,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.44s). | Audio Silence detected (0.10s). | Audio Silence detected (0.14s). | Audio Silence detected (0.16s). | Audio Silence detected (0.11s).
363970,372070,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (8.10s).
365000,369000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 38.1)
372000,373000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 40.8)
372720,372830,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.11s).
374640,375210,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.26s). | Audio Silence detected (0.25s).
375000,392000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 43.6)
375041,375166,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.12s
375340,375500,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.16s).
376290,376590,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.30s).
378630,378740,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.11s).
378920,379200,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.28s).
386291,386375,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.08s
386700,388000,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (1.30s).
388110,388410,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.30s).
389120,389870,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.75s).
390800,390950,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.15s).
395000,404000,VQUAL,SEVERE,Compression Artifact Ml: ML detected SEVERE artifacts (Avg Score: 63.0)
405041,405166,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.12s
409000,447000,VQUAL,MODERATE,Compression Artifact Ml: ML detected MODERATE artifacts (Avg Score: 52.4)
447270,447400,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.13s).
448450,450190,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (1.62s). | Audio Silence detected (0.10s).
450470,450940,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.22s). | Audio Silence detected (0.20s).
451230,451570,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.34s).
451770,452230,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.18s). | Audio Silence detected (0.28s).
452000,454000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 42.5)
452540,456910,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (0.50s). | Audio Silence detected (3.87s).
458120,462530,AUD,UNKNOWN,Audio Dropout: Audio Silence detected (4.41s).
459000,460000,VQUAL,MILD,Compression Artifact Ml: ML detected MILD artifacts (Avg Score: 42.4)
461000,461916,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.12s | Content frozen for 0.75s
462000,489000,VQUAL,SEVERE,Compression Artifact Ml: ML detected SEVERE artifacts (Avg Score: 51.7)
491000,596000,VQUAL,SEVERE,Compression Artifact Ml: ML detected SEVERE artifacts (Avg Score: 68.6)
493500,493833,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.33s
578916,579000,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.08s
579250,579708,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.46s
580166,580958,VERR,UNKNOWN,Freeze Frame: Content frozen for 0.79s
